epoch,train_loss,val_loss,val_ic,val_rank_ic
1,0.06463781,0.06647294,0.005701,0.009338
2,0.06428038,0.06688668,0.019342,0.025698
3,0.06420717,0.06653631,0.025829,0.030941
4,0.06418189,0.06642448,0.025608,0.028861
5,0.06410486,0.06643829,0.028933,0.032182
6,0.06408686,0.06640617,0.029492,0.029493
7,0.06406530,0.06642865,0.034722,0.026999
8,0.06403730,0.06645453,0.030917,0.023075
9,0.06399491,0.06639020,0.037964,0.027952
10,0.06392620,0.06651443,0.028877,0.022057
11,0.06383497,0.06655825,0.023987,0.017944
12,0.06369747,0.06663101,0.021891,0.021220
13,0.06354242,0.06664654,0.022053,0.016185
14,0.06333269,0.06697821,0.021403,0.015130
