epoch,train_loss,val_loss,val_ic,val_rank_ic
1,0.38356222,0.06357548,0.033616,0.017611
2,0.37699146,0.06395553,0.023194,0.012068
3,0.37598875,0.06423160,0.013943,0.005488
4,0.37467853,0.06451128,0.012887,0.007060
5,0.37346762,0.06518688,0.008108,0.005747
6,0.37211098,0.06523984,0.013340,0.012173
