epoch,train_loss,val_loss,val_ic,val_rank_ic
1,0.37965253,0.06405799,0.011888,0.009977
2,0.37872913,0.06397006,0.022174,0.025329
3,0.37855873,0.06419438,0.019357,0.022783
4,0.37840503,0.06401756,0.030137,0.032717
5,0.37823188,0.06404190,0.029000,0.028586
6,0.37806205,0.06435325,0.029101,0.027943
7,0.37786518,0.06413329,0.029527,0.028001
8,0.37761185,0.06429441,0.031047,0.029258
9,0.37726192,0.06423372,0.030851,0.025491
10,0.37686897,0.06438693,0.031500,0.029112
11,0.37633122,0.06447649,0.027893,0.023088
12,0.37573648,0.06464458,0.030051,0.025953
13,0.37515627,0.06493485,0.025348,0.021284
14,0.37447560,0.06503041,0.027095,0.023511
15,0.37365547,0.06530378,0.027371,0.025512
