epoch,train_loss,val_loss,val_ic,val_rank_ic
1,0.37972960,0.06976245,0.020225,0.018778
2,0.37735349,0.06974919,0.020554,0.021475
3,0.37503594,0.06995244,0.015982,0.019399
4,0.37266044,0.07032386,0.017178,0.013231
5,0.37035835,0.07027887,0.022496,0.022836
6,0.36817081,0.07008101,0.022891,0.022158
7,0.36634388,0.07033413,0.024905,0.025844
8,0.36447938,0.07047929,0.023950,0.023304
9,0.36278724,0.07038783,0.018544,0.020270
10,0.36100621,0.07078489,0.039290,0.028628
11,0.35957007,0.07183393,0.014592,0.017249
12,0.35799607,0.07134046,0.025624,0.022967
13,0.35665551,0.07109338,0.023050,0.021660
14,0.35533971,0.07134321,0.023860,0.021209
15,0.35417103,0.07134752,0.022409,0.020004
