epoch,train_loss,val_loss,val_ic,val_rank_ic
1,0.06443723,0.06445051,0.001889,-0.002719
2,0.06393124,0.06457265,0.002980,-0.000585
3,0.06372041,0.06442563,-0.000944,0.000313
4,0.06371095,0.06454694,0.004478,0.009219
5,0.06356191,0.06453927,-0.001680,0.000001
6,0.06354765,0.06450416,0.005736,0.011642
7,0.06351855,0.06443982,0.006421,0.012873
8,0.06348987,0.06448630,0.000483,0.004829
9,0.06344905,0.06438615,0.010415,0.010063
10,0.06344373,0.06437225,0.014892,0.018249
11,0.06341630,0.06440096,0.010222,0.010282
12,0.06341593,0.06436696,0.018928,0.021747
13,0.06340668,0.06437910,0.016526,0.018776
14,0.06337549,0.06437178,0.020076,0.023627
15,0.06336537,0.06436768,0.020140,0.023896
16,0.06335727,0.06439066,0.014620,0.019542
17,0.06332857,0.06439812,0.014681,0.022337
18,0.06330569,0.06438671,0.016976,0.023259
19,0.06329891,0.06443020,0.011122,0.022454
