epoch,train_loss,val_loss,val_ic,val_rank_ic
1,0.00671861,0.00684135,0.008027,0.011130
2,0.00669188,0.00684116,-0.011768,-0.011407
3,0.00668609,0.00684159,0.017312,0.011483
4,0.00668560,0.00684123,0.020720,0.023086
5,0.00668509,0.00684169,0.017330,0.013963
6,0.00668510,0.00684121,0.024722,0.022697
7,0.00668483,0.00684105,0.019000,0.014458
8,0.00668469,0.00684060,0.025182,0.025120
9,0.00668437,0.00684052,0.026429,0.028608
10,0.00668422,0.00684055,0.026045,0.026935
