epoch,train_loss,val_loss,val_ic,val_rank_ic
1,0.37981305,0.06390015,0.016568,0.011687
2,0.37734654,0.06375367,0.026476,0.022032
3,0.37679973,0.06371370,0.022629,0.019642
4,0.37634517,0.06397509,0.025164,0.021976
5,0.37586039,0.06416743,0.026667,0.025349
6,0.37504980,0.06436349,0.021996,0.021248
7,0.37419094,0.06471843,0.020931,0.020034
8,0.37323326,0.06528069,0.027466,0.026139
9,0.37140865,0.06595782,0.026144,0.026072
10,0.36909413,0.06743143,0.022366,0.020521
11,0.36639095,0.06772006,0.021423,0.021732
12,0.36308524,0.06940065,0.019771,0.020058
13,0.35941021,0.07016308,0.016565,0.018145
