epoch,train_loss,val_loss,val_ic,val_rank_ic
1,0.06497171,0.06297171,0.054757,0.050767
2,0.06238221,0.06375134,0.051888,0.045902
3,0.06185770,0.06286633,0.063032,0.057942
4,0.06228980,0.06254690,0.057187,0.052511
5,0.06159147,0.06271264,0.072815,0.070738
6,0.06157019,0.06249712,0.075274,0.071518
7,0.06130849,0.06290261,0.055501,0.048745
8,0.06122868,0.06308447,0.049327,0.049394
9,0.06147733,0.06263507,0.053531,0.056256
10,0.06108866,0.06288472,0.064452,0.061731
11,0.06084151,0.06278164,0.048865,0.044977
