epoch,train_loss,val_loss,val_ic,val_rank_ic
1,0.06416173,0.06439801,0.003362,0.002245
2,0.06364624,0.06460845,0.005599,-0.000401
3,0.06353731,0.06454031,0.016914,0.019379
4,0.06351978,0.06437091,0.019690,0.022265
5,0.06351667,0.06447807,0.014361,0.015550
6,0.06346860,0.06438863,0.021196,0.019353
7,0.06341993,0.06437414,0.024405,0.025742
8,0.06338435,0.06438828,0.024370,0.024822
9,0.06331534,0.06451445,0.021456,0.021149
10,0.06319599,0.06460355,0.019864,0.020249
11,0.06298547,0.06473956,0.011462,0.014978
12,0.06268674,0.06491057,0.017107,0.015717
