epoch,train_loss,val_loss,val_ic,val_rank_ic
1,0.00680772,0.00706324,0.033744,0.020116
2,0.00678143,0.00706271,0.035392,0.024639
3,0.00677900,0.00706145,0.034227,0.024634
4,0.00677735,0.00706276,0.034626,0.017212
5,0.00677510,0.00708267,0.032097,0.022614
6,0.00677534,0.00706189,0.031236,0.015853
7,0.00677383,0.00706563,0.030330,0.019879
