epoch,train_loss,val_loss,val_ic,val_rank_ic
1,0.00722658,0.00697280,0.074382,0.038990
2,0.00717823,0.00699946,0.069524,0.035971
3,0.00716460,0.00700185,0.066566,0.032264
4,0.00716005,0.00700761,0.064644,0.035894
5,0.00715275,0.00699653,0.066717,0.031200
6,0.00714792,0.00699378,0.063040,0.030359
