epoch,train_loss,val_loss,val_ic,val_rank_ic
1,0.37957638,0.06409033,0.020214,0.022823
2,0.37874807,0.06420526,0.014358,0.013788
3,0.37861232,0.06459547,0.019403,0.020810
4,0.37844506,0.06420572,0.026206,0.029717
5,0.37830210,0.06401422,0.028485,0.030717
6,0.37809256,0.06415886,0.026101,0.023974
7,0.37782878,0.06422666,0.026115,0.026370
8,0.37748345,0.06428700,0.027474,0.025411
9,0.37706663,0.06440936,0.023595,0.023638
10,0.37656511,0.06445506,0.035313,0.030568
11,0.37591293,0.06456093,0.031474,0.029323
12,0.37516192,0.06482317,0.028233,0.026879
13,0.37429310,0.06511453,0.026728,0.026318
14,0.37321320,0.06558094,0.024775,0.022881
15,0.37234024,0.06588849,0.020757,0.019048
