epoch,train_loss,val_loss,val_ic,val_rank_ic
1,0.38438668,0.06365022,0.024561,0.012803
2,0.37740447,0.06390184,0.024431,0.019534
3,0.37654000,0.06432511,0.025417,0.018941
4,0.37561100,0.06405825,0.019151,0.021714
5,0.37431248,0.06437605,0.024222,0.026689
6,0.37319297,0.06522736,0.030131,0.027944
7,0.37195636,0.06497769,0.027022,0.022894
8,0.37042799,0.06651235,0.024651,0.026822
9,0.36876306,0.06620106,0.017259,0.017701
10,0.36679526,0.06678961,0.029678,0.027328
11,0.36486671,0.06682068,0.020438,0.019785
