epoch,train_loss,val_loss,val_ic,val_rank_ic
1,0.37990938,0.06401740,0.023197,0.022112
2,0.37730651,0.06373269,0.017351,0.015831
3,0.37688057,0.06414631,0.025705,0.017413
4,0.37653222,0.06394532,0.027209,0.021865
5,0.37602997,0.06414801,0.022947,0.021699
6,0.37558511,0.06449959,0.019330,0.012883
7,0.37484412,0.06476114,0.026887,0.021853
8,0.37408952,0.06499999,0.027344,0.023721
9,0.37311444,0.06515468,0.024771,0.021870
10,0.37150968,0.06570753,0.029256,0.027831
11,0.36955980,0.06681348,0.021841,0.022337
12,0.36702095,0.06779110,0.020766,0.018284
13,0.36408499,0.06857949,0.015114,0.015664
14,0.36113390,0.06924863,0.014152,0.014751
15,0.35835080,0.06959229,0.010090,0.010217
