epoch,train_loss,val_loss,val_ic,val_rank_ic
1,0.08398354,0.07392865,-0.129748,-0.131112
2,0.07171412,0.06930537,-0.160622,-0.163386
3,0.06904619,0.07869175,-0.105442,-0.106114
4,0.06761586,0.06808974,-0.109975,-0.090514
5,0.06453302,0.07174348,-0.138928,-0.121506
6,0.06182383,0.07313059,-0.109054,-0.081787
7,0.05944508,0.07416960,-0.086948,-0.057053
8,0.05763949,0.07817295,-0.146294,-0.122122
9,0.05646860,0.07543897,-0.118520,-0.117394
10,0.05476700,0.07679545,-0.119176,-0.100464
11,0.05162925,0.07833109,-0.157706,-0.128282
12,0.04980220,0.07855455,-0.123322,-0.086021
