epoch,train_loss,val_loss,val_ic,val_rank_ic
1,0.37920639,0.06961825,0.002359,0.007501
2,0.37865229,0.06981734,-0.001341,0.004804
3,0.37820668,0.06984900,0.012010,0.017420
4,0.37728794,0.07006399,0.013799,0.015610
5,0.37518675,0.06975341,0.013110,0.025829
6,0.37204869,0.07017488,0.008424,0.020851
7,0.36907805,0.07028279,0.021429,0.026823
8,0.36619267,0.07030265,0.015376,0.024128
9,0.36365246,0.07015494,0.017412,0.026731
10,0.36127876,0.07039746,0.016103,0.027138
11,0.35913811,0.07070335,0.008395,0.024397
12,0.35729005,0.07125889,0.009320,0.023879
