epoch,train_loss,val_loss,val_ic,val_rank_ic
1,0.00674195,0.00748464,0.054638,0.036535
2,0.00671046,0.00746617,0.052926,0.037312
3,0.00670100,0.00746152,0.051874,0.032966
4,0.00669579,0.00747179,0.047835,0.031055
5,0.00668868,0.00746029,0.048832,0.031988
6,0.00668236,0.00746416,0.051416,0.033471
