epoch,train_loss,val_loss,val_ic,val_rank_ic
1,0.06434405,0.06540633,-0.005056,-0.001326
2,0.06389084,0.06484161,0.006561,0.005239
3,0.06369256,0.06448967,-0.003522,0.000925
4,0.06362822,0.06445242,0.006839,0.008087
5,0.06357216,0.06437965,0.006498,0.010327
6,0.06350752,0.06440665,0.009138,0.011512
7,0.06347526,0.06441034,0.016101,0.015328
8,0.06343238,0.06437870,0.013146,0.019658
9,0.06341130,0.06438653,0.010972,0.014128
10,0.06339727,0.06440078,0.012824,0.013583
11,0.06338411,0.06436852,0.016678,0.020257
12,0.06336043,0.06438035,0.016727,0.020369
13,0.06336792,0.06437107,0.022027,0.022130
14,0.06334188,0.06439818,0.019848,0.023082
15,0.06330850,0.06439618,0.022711,0.024542
16,0.06326088,0.06446349,0.020781,0.025244
17,0.06323727,0.06442108,0.020526,0.024174
18,0.06320665,0.06449594,0.020993,0.024883
19,0.06318096,0.06448289,0.020685,0.024570
20,0.06317173,0.06449621,0.020668,0.024694
