epoch,train_loss,val_loss,val_ic,val_rank_ic
1,0.38125655,0.06435353,0.025259,0.026816
2,0.37891413,0.06407050,0.029066,0.030041
3,0.37847997,0.06401202,0.027808,0.030962
4,0.37807305,0.06457249,0.023640,0.035071
5,0.37779968,0.06415548,0.029285,0.029903
6,0.37729963,0.06422352,0.027521,0.027716
7,0.37684600,0.06423181,0.027356,0.031668
8,0.37628492,0.06415267,0.031864,0.037516
9,0.37558357,0.06457995,0.027881,0.030682
10,0.37491477,0.06490115,0.027681,0.029754
11,0.37410837,0.06496344,0.029858,0.034317
12,0.37328306,0.06522285,0.028931,0.029048
13,0.37244418,0.06552934,0.029155,0.030897
